2005;52;2006.01.01.;0;0 Ft;58;1 033 130 Ft;5835;10 873 Ft;148393;831 Ft;13;35;39;42;58
2005;51;2005.12.25.;2;339 642 176 Ft;111;513 296 Ft;6335;9 523 Ft;153470;764 Ft;6;19;31;72;81
2005;50;2005.12.17.;0;0 Ft;81;683 050 Ft;5558;10 540 Ft;149275;763 Ft;3;18;19;60;79
2005;49;2005.12.10.;0;0 Ft;68;922 796 Ft;4903;13 551 Ft;140386;920 Ft;7;11;16;50;86
2005;48;2005.12.03.;0;0 Ft;35;1 491 746 Ft;3171;17 434 Ft;98070;1 096 Ft;38;45;56;63;78
2005;47;2005.11.26.;0;0 Ft;26;1 990 879 Ft;2404;22 799 Ft;86685;1 229 Ft;5;30;72;87;88
2005;46;2005.11.19.;0;0 Ft;39;1 360 787 Ft;4135;13 589 Ft;117334;931 Ft;5;14;15;56;79
2005;45;2005.11.12.;0;0 Ft;20;2 641 504 Ft;2408;23 230 Ft;88631;1 227 Ft;36;40;52;79;80
2005;44;2005.11.05.;1;2 056 228 524 Ft;53;1 504 755 Ft;5972;14 140 Ft;167352;981 Ft;15;22;28;41;57
2005;43;2005.10.29.;0;0 Ft;60;1 233 572 Ft;5705;13 737 Ft;169275;900 Ft;33;37;40;51;52
2005;42;2005.10.22.;0;0 Ft;49;1 456 312 Ft;4632;16 312 Ft;143476;1 024 Ft;4;51;66;74;83
2005;41;2005.10.15.;0;0 Ft;44;1 698 490 Ft;4022;19 674 Ft;128606;1 196 Ft;34;44;55;62;75
2005;40;2005.10.08.;0;0 Ft;90;755 853 Ft;8166;8 821 Ft;193470;724 Ft;3;19;50;59;70
2005;39;2005.10.01.;0;0 Ft;64;998 542 Ft;4262;15 877 Ft;120053;1 096 Ft;31;44;55;67;73
2005;38;2005.09.24.;0;0 Ft;49;1 257 213 Ft;4406;14 804 Ft;126948;999 Ft;8;36;44;55;76
2005;37;2005.09.17.;0;0 Ft;53;1 211 014 Ft;5131;13 245 Ft;138267;956 Ft;3;33;53;60;61
2005;36;2005.09.10.;0;0 Ft;73;952 422 Ft;5364;13 724 Ft;142690;1 003 Ft;4;16;22;48;88
2005;35;2005.09.03.;0;0 Ft;27;2 171 534 Ft;3350;18 531 Ft;120613;1 001 Ft;17;18;40;42;58
2005;34;2005.08.27.;0;0 Ft;56;981 708 Ft;3692;15 766 Ft;109171;1 037 Ft;4;32;34;36;78
2005;33;2005.08.20.;0;0 Ft;49;1 096 754 Ft;3728;15 263 Ft;105647;1 047 Ft;22;32;51;75;83
2005;32;2005.08.13.;0;0 Ft;77;846 824 Ft;5791;11 922 Ft;141285;950 Ft;2;9;28;30;78
2005;31;2005.08.06.;0;0 Ft;59;914 052 Ft;4254;13 423 Ft;118431;938 Ft;3;31;39;73;81
2005;30;2005.07.30.;0;0 Ft;50;976 179 Ft;3861;13 385 Ft;106888;940 Ft;6;15;36;38;75
2005;29;2005.07.23.;0;0 Ft;29;1 732 762 Ft;3148;16 902 Ft;106835;968 Ft;11;12;28;64;81
2005;28;2005.07.16.;0;0 Ft;73;697 490 Ft;5606;9 617 Ft;136804;766 Ft;4;10;37;42;51
2005;27;2005.07.09.;0;0 Ft;34;1 516 138 Ft;3149;17 333 Ft;95415;1 112 Ft;12;17;45;59;75
2005;26;2005.07.02.;0;0 Ft;54;927 452 Ft;4043;13 116 Ft;107470;959 Ft;17;24;47;68;84
2005;25;2005.06.25.;1;89 147 992 Ft;91;555 134 Ft;6173;8 665 Ft;139374;746 Ft;7;24;36;57;70
2005;24;2005.06.18.;1;2 302 041 279 Ft;111;748 834 Ft;6173;14 257 Ft;169335;1 011 Ft;18;35;56;88;90
2005;23;2005.06.11.;0;0 Ft;83;981 261 Ft;6862;12 567 Ft;186297;900 Ft;4;29;33;44;73
2005;22;2005.06.04.;0;0 Ft;91;894 707 Ft;6720;12 829 Ft;178567;939 Ft;27;36;57;71;86
2005;21;2005.05.28.;0;0 Ft;38;1 950 288 Ft;3976;19 736 Ft;151102;1 010 Ft;7;8;69;80;84
2005;20;2005.05.21.;0;0 Ft;32;2 324 890 Ft;4455;17 682 Ft;141276;1 084 Ft;14;16;32;53;54
2005;19;2005.05.14.;0;0 Ft;61;1 396 715 Ft;4380;20 596 Ft;150079;1 169 Ft;1;6;62;72;75
2005;18;2005.05.07.;0;0 Ft;33;2 115 983 Ft;3197;23 126 Ft;101145;1 421 Ft;41;50;80;83;85
2005;17;2005.04.30.;0;0 Ft;29;2 310 571 Ft;2773;25 585 Ft;97906;1 409 Ft;41;47;77;82;84
2005;16;2005.04.23.;0;0 Ft;76;889 731 Ft;6220;11 511 Ft;179527;775 Ft;3;4;25;29;65
2005;15;2005.04.16.;0;0 Ft;44;1 502 924 Ft;4555;15 372 Ft;131548;1 035 Ft;37;50;69;77;81
2005;14;2005.04.09.;0;0 Ft;82;900 543 Ft;6823;11 460 Ft;177600;856 Ft;9;27;59;72;74
2005;13;2005.04.02.;0;0 Ft;32;1 785 254 Ft;2836;21 329 Ft;85914;1 369 Ft;16;20;41;59;60
2005;12;2005.03.26.;0;0 Ft;86;681 721 Ft;6785;9 149 Ft;159856;755 Ft;2;19;63;72;82
2005;11;2005.03.19.;0;0 Ft;57;1 046 490 Ft;4801;13 155 Ft;129867;946 Ft;21;29;58;62;71
2005;10;2005.03.12.;0;0 Ft;56;935 340 Ft;4178;13 274 Ft;133234;809 Ft;2;16;36;37;72
2005;9;2005.03.05.;0;0 Ft;64;788 540 Ft;5313;10 057 Ft;146508;709 Ft;19;37;49;86;89
2005;8;2005.02.26.;0;0 Ft;59;827 712 Ft;5489;9 420 Ft;140639;715 Ft;8;27;28;33;58
2005;7;2005.02.19.;0;0 Ft;70;711 232 Ft;4424;11 916 Ft;122213;839 Ft;9;20;47;50;78
2005;6;2005.02.12.;0;0 Ft;42;1 284 071 Ft;4217;13 541 Ft;124483;892 Ft;14;30;32;37;67
2005;5;2005.02.05.;0;0 Ft;31;1 598 995 Ft;2672;19 642 Ft;87657;1 164 Ft;31;32;54;76;89
2005;4;2005.01.29.;1;1 369 312 001 Ft;73;962 618 Ft;6942;10 718 Ft;201039;720 Ft;2;8;37;38;54
2005;3;2005.01.22.;0;0 Ft;41;1 714 498 Ft;5365;13 873 Ft;147349;982 Ft;30;33;40;55;88
2005;2;2005.01.15.;0;0 Ft;37;1 856 894 Ft;4474;16 260 Ft;144993;976 Ft;22;66;67;87;89
2005;1;2005.01.08.;0;0 Ft;35;2 192 217 Ft;4300;18 893 Ft;121471;1 300 Ft;30;42;60;75;80
