1999;52;;0;0 Ft;112;112 403 Ft;4586;2 745 Ft;60192;558 Ft;6;7;19;25;30;32;34;12;18;20;24;28;31;34
1999;51;;0;0 Ft;53;236 535 Ft;2846;4 405 Ft;52098;642 Ft;6;13;14;16;19;33;35;3;10;14;15;24;30;34
1999;50;;1;25 465 091 Ft;55;231 501 Ft;2694;4 726 Ft;50425;673 Ft;1;3;28;31;32;33;34;9;12;13;14;15;18;34
1999;49;;2;99 764 991 Ft;117;111 496 Ft;4557;2 863 Ft;65565;531 Ft;1;9;13;18;21;26;34;9;12;16;23;28;31;35
1999;48;;0;0 Ft;75;163 545 Ft;3688;3 326 Ft;57505;569 Ft;4;9;11;20;22;28;32;11;13;16;17;20;31;35
1999;47;;0;0 Ft;103;111 940 Ft;4401;2 620 Ft;61388;501 Ft;1;2;3;4;10;17;19;2;4;6;11;14;25;33
1999;46;;0;0 Ft;81;150 116 Ft;3562;3 414 Ft;54974;590 Ft;1;4;13;15;17;20;24;1;19;22;26;29;31;35
1999;45;;0;0 Ft;56;211 091 Ft;3235;3 654 Ft;44986;701 Ft;4;5;6;26;27;29;30;4;16;17;21;24;26;32
1999;44;;0;0 Ft;48;224 268 Ft;2686;4 008 Ft;41617;690 Ft;1;2;6;10;11;20;34;11;16;18;27;30;33;35
1999;43;;0;0 Ft;83;120 743 Ft;4029;2 487 Ft;59002;453 Ft;7;11;12;19;21;33;35;2;3;6;12;13;14;31
1999;42;;0;0 Ft;49;192 605 Ft;3033;3 112 Ft;46684;539 Ft;4;5;8;16;27;29;30;4;6;7;22;24;26;28
1999;41;;0;0 Ft;55;158 537 Ft;2745;3 177 Ft;44102;527 Ft;7;8;13;16;20;25;31;12;14;18;24;31;34;35
