2003;52;;0;0 Ft;64;249 560 Ft;3425;4 663 Ft;52549;811 Ft;9;11;21;25;26;27;34;4;15;18;20;21;25;32
2003;51;;0;0 Ft;67;251 437 Ft;3635;4 634 Ft;54112;830 Ft;6;10;16;17;18;30;31;1;6;9;12;14;19;31
2003;50;;0;0 Ft;160;107 344 Ft;3671;4 679 Ft;60719;754 Ft;11;14;16;17;21;27;29;7;16;25;29;30;31;35
2003;49;;0;0 Ft;93;222 317 Ft;4140;4 994 Ft;69804;790 Ft;17;19;20;22;27;28;29;2;11;14;15;21;23;26
2003;48;;1;65 462 310 Ft;203;81 334 Ft;6346;2 602 Ft;76933;572 Ft;5;7;14;23;26;27;30;6;9;17;19;21;29;34
2003;47;;0;0 Ft;79;205 320 Ft;3291;4 929 Ft;51899;833 Ft;1;6;13;19;21;24;30;1;4;5;6;10;17;30
2003;46;;1;203 417 964 Ft;137;128 138 Ft;4888;3 591 Ft;65444;715 Ft;2;6;12;16;18;24;29;5;6;9;10;11;13;25
2003;45;;0;0 Ft;163;100 970 Ft;5762;2 856 Ft;72194;608 Ft;5;17;18;19;27;34;35;2;4;10;12;23;28;32
2003;44;;0;0 Ft;102;151 775 Ft;3621;4 275 Ft;53357;774 Ft;5;6;12;16;18;29;31;6;13;18;25;26;32;33
2003;43;;0;0 Ft;214;74 506 Ft;6380;2 499 Ft;75193;565 Ft;2;6;10;12;18;28;32;2;3;9;12;23;25;27
2003;42;;0;0 Ft;85;183 628 Ft;3192;4 890 Ft;50554;823 Ft;1;4;18;20;29;32;35;1;2;8;9;10;16;23
2003;41;;0;0 Ft;242;85 382 Ft;7532;2 743 Ft;92764;594 Ft;3;6;14;17;24;29;34;2;4;9;11;16;19;29
2003;40;;1;56 954 520 Ft;44;325 973 Ft;2305;6 222 Ft;41746;916 Ft;3;4;10;14;26;28;32;8;9;13;15;16;26;35
2003;39;;0;0 Ft;82;172 372 Ft;3160;4 473 Ft;52450;719 Ft;4;9;21;22;27;33;34;3;6;21;27;28;30;33
2003;38;;1;145 129 212 Ft;80;186 668 Ft;4203;3 553 Ft;62948;633 Ft;7;12;14;18;23;33;34;3;7;8;20;21;26;35
2003;37;;0;0 Ft;140;121 933 Ft;5274;3 237 Ft;73879;616 Ft;7;18;19;26;27;28;34;4;8;10;19;28;33;34
2003;36;;0;0 Ft;70;199 118 Ft;3282;4 247 Ft;51524;721 Ft;5;9;12;15;17;22;32;3;4;14;24;30;34;35
2003;35;;0;0 Ft;71;189 626 Ft;3024;4 452 Ft;47725;752 Ft;2;4;8;29;32;33;35;1;7;9;12;21;26;30
2003;34;;0;0 Ft;67;196 401 Ft;3158;4 167 Ft;48276;727 Ft;4;17;19;22;24;26;29;10;14;23;30;31;33;35
